Fuel_Type,Fuel_Price_per_Litre,Distance_km,Fuel_Consumption_L_per_100km
Diesel,100.59,467.3,7.31
Petrol,109.39,411.4,9.13
Diesel,101.49,147.6,7.23
Petrol,103.58,296.0,8.47
Diesel,96.04,144.1,6.70
Petrol,99.46,155.1,8.04
Diesel,99.14,224.1,6.93
Petrol,96.15,385.8,7.91
Diesel,100.11,498.5,7.27
Petrol,105.94,423.6,8.94
Diesel,92.46,281.9,6.39
Petrol,99.05,433.9,8.10
Diesel,91.29,267.5,6.35
Petrol,96.49,343.1,7.96
Diesel,94.36,245.2,6.54
Petrol,108.22,309.7,9.10
Diesel,103.44,327.3,7.39
Petrol,96.58,408.9,7.97
Diesel,99.95,398.2,7.13
Petrol,109.05,193.6,9.09
Diesel,97.11,144.3,6.73
Petrol,108.12,246.1,8.90
Diesel,99.48,185.5,6.97
Petrol,105.38,162.2,8.69
Diesel,99.30,347.1,7.13
Petrol,97.64,379.7,7.99
Diesel,95.94,439.8,6.83
Petrol,105.31,400.0,8.74
Diesel,101.50,153.9,7.21
Petrol,104.30,302.7,8.56
Diesel,101.61,163.8,7.14
Petrol,109.57,310.8,9.16
Diesel,99.39,278.2,7.15
Petrol,99.87,178.2,8.08
Diesel,98.45,216.1,6.92
Petrol,101.40,250.7,8.25
Diesel,90.90,337.4,6.22
Petrol,107.93,303.2,8.97
Diesel,94.34,437.1,6.66
Petrol,96.97,117.8,7.74
Diesel,94.94,133.7,6.60
Petrol,98.61,436.1,8.23
Diesel,97.48,378.0,6.87
Petrol,98.88,278.8,8.03
Diesel,94.95,159.1,6.60
Petrol,98.26,124.6,7.91
Diesel,101.59,274.3,7.31
Petrol,103.39,311.6,8.62
Diesel,90.60,490.9,6.40
Petrol,107.21,363.7,8.99
Diesel,91.90,340.4,6.38
Petrol,106.74,469.6,8.91
Diesel,98.45,266.9,6.96
Petrol,101.84,440.7,8.50
Diesel,90.90,443.3,6.31
Petrol,107.09,299.4,8.88
Diesel,100.22,159.4,7.12
Petrol,108.62,196.8,9.02
Diesel,96.62,430.0,6.90
Petrol,107.12,157.4,8.89
Diesel,94.82,393.4,6.62
Petrol,101.69,127.9,8.33
Diesel,101.94,334.6,7.28
Petrol,103.60,323.3,8.60
Diesel,90.13,264.2,6.21
Petrol,97.07,285.5,7.93
Diesel,100.73,200.2,7.13
Petrol,100.08,128.1,8.11
Diesel,102.64,193.9,7.29
Petrol,107.10,217.8,8.79
Diesel,97.79,423.7,6.96
Petrol,104.22,129.1,8.45
Diesel,99.04,363.1,7.13
Petrol,100.20,476.0,8.40
Diesel,91.91,175.1,6.32
Petrol,97.92,456.7,8.15
Diesel,90.34,258.6,6.18
Petrol,108.38,110.9,9.00
Diesel,95.38,121.3,6.62
Petrol,103.35,301.3,8.60
Diesel,96.82,124.0,6.69
Petrol,97.75,494.5,8.14
Diesel,95.19,269.0,6.63
Petrol,102.52,272.2,8.49
Diesel,102.35,286.6,7.30
Petrol,103.94,161.8,8.58
Diesel,102.89,406.5,7.43
Petrol,103.39,407.2,8.67
Diesel,100.32,368.7,7.25
Petrol,101.33,181.3,8.18
Diesel,96.37,148.3,6.64
Petrol,109.35,425.3,9.28
Diesel,98.68,104.7,6.83
Petrol,107.78,406.5,9.04
Diesel,96.91,323.4,6.94
Petrol,103.78,101.0,8.47
Diesel,98.15,426.8,7.10
Petrol,106.93,341.9,8.96
Diesel,96.89,483.8,6.91
Petrol,101.52,255.0,8.29
Diesel,103.54,495.8,7.52
Petrol,100.46,104.3,8.09
Diesel,99.12,471.5,7.18
Petrol,102.03,478.9,8.45
Diesel,99.54,131.7,6.89
Petrol,108.23,113.7,8.86
Diesel,103.05,172.8,7.37
Petrol,99.10,419.5,8.16
Diesel,91.69,369.8,6.40
Petrol,101.85,284.5,8.44
Diesel,98.23,190.2,6.92
Petrol,108.41,449.7,9.18
Diesel,93.50,170.0,6.46
Petrol,105.19,461.5,8.74
Diesel,102.71,160.6,7.36
Petrol,106.59,139.7,8.77
Diesel,100.32,347.3,7.26
Petrol,97.15,284.9,7.85
Diesel,99.04,398.2,7.04
Petrol,107.66,179.2,8.86
Diesel,101.11,193.6,7.16
Petrol,107.19,437.1,9.04
Diesel,97.26,417.8,6.89
Petrol,99.13,349.5,8.21
Diesel,99.26,210.4,6.97
Petrol,104.34,225.5,8.62
Diesel,97.23,245.8,6.85
Petrol,109.87,372.3,9.29
Diesel,103.00,302.2,7.46
Petrol,101.87,196.5,8.26
Diesel,98.20,266.8,7.03
Petrol,98.96,444.9,8.21
Diesel,98.49,143.3,6.86
Petrol,98.07,195.1,7.91
Diesel,94.49,305.4,6.71
Petrol,96.92,268.3,7.82
Diesel,102.98,119.9,7.28
Petrol,103.61,226.6,8.58
Diesel,100.66,421.2,7.27
Petrol,104.74,448.3,8.73
Diesel,103.42,139.7,7.36
Petrol,97.06,355.0,7.89
Diesel,102.35,280.1,7.32
Petrol,104.52,495.7,8.72
Diesel,94.74,247.4,6.54
Petrol,99.79,368.1,8.16
Diesel,101.88,445.0,7.32
Petrol,104.08,296.8,8.55
Diesel,99.76,116.9,6.92
Petrol,98.01,280.1,7.91
Diesel,91.63,492.8,6.42
Petrol,109.60,175.7,9.02
Diesel,100.52,197.7,7.18
Petrol,107.03,173.6,8.91
Diesel,100.82,227.5,7.08
Petrol,99.16,182.0,8.13
Diesel,99.89,296.2,7.05
Petrol,101.40,410.3,8.32
Diesel,93.53,252.6,6.52
Petrol,101.07,251.5,8.29
Diesel,91.49,395.4,6.31
Petrol,100.96,296.7,8.21
Diesel,103.56,246.9,7.37
Petrol,109.84,307.7,9.17
Diesel,94.08,124.2,6.51
Petrol,97.60,421.8,7.97
Diesel,91.84,288.5,6.42
Petrol,98.14,274.7,8.08
Diesel,102.97,392.2,7.41
Petrol,99.21,387.6,8.23
Diesel,97.43,255.8,6.93
Petrol,99.93,372.7,8.23
Diesel,103.58,267.2,7.50
Petrol,96.74,203.1,7.88
Diesel,100.76,387.4,7.34
Petrol,105.89,137.8,8.73
Diesel,94.62,155.2,6.56
Petrol,102.08,192.3,8.42
Diesel,100.61,481.5,7.26
Petrol,96.56,271.2,7.89
Diesel,101.22,395.7,7.33
Petrol,101.20,282.9,8.24
Diesel,97.85,104.3,6.79
Petrol,99.26,157.7,8.02
Diesel,94.85,131.3,6.50
Petrol,110.00,253.5,9.21
Diesel,103.84,187.9,7.44
Petrol,102.87,459.8,8.60
Diesel,93.23,138.7,6.34
Petrol,109.41,309.2,9.19
Diesel,92.01,472.0,6.58
Petrol,96.92,200.7,7.84
Diesel,92.65,258.9,6.38
Petrol,107.78,158.5,8.82
Diesel,94.71,138.6,6.63
Petrol,98.67,135.2,7.91
Diesel,99.72,403.2,7.18
Petrol,104.16,120.7,8.46
Diesel,91.75,224.2,6.38
Petrol,96.94,156.2,7.78
Diesel,103.59,341.0,7.48
Petrol,105.11,135.8,8.56
Diesel,95.55,212.2,6.72
Petrol,105.73,424.1,8.93
Diesel,96.40,158.8,6.63
Petrol,103.73,161.8,8.54
Diesel,98.22,116.2,6.76
Petrol,96.09,205.6,7.80
Diesel,92.22,324.2,6.49
Petrol,106.94,476.2,9.08
Diesel,99.50,148.9,6.95
Petrol,108.61,448.2,9.16
Diesel,98.35,374.2,6.93
Petrol,106.92,417.6,9.02
Diesel,94.56,499.6,6.82
Petrol,104.17,150.3,8.60
Diesel,91.89,329.3,6.33
Petrol,96.52,292.0,7.77
Diesel,94.93,485.9,6.74
Petrol,106.11,297.1,8.81
Diesel,94.70,345.9,6.64
Petrol,108.40,106.4,8.96
Diesel,100.21,322.7,7.12
Petrol,103.41,482.3,8.65
Diesel,101.14,423.0,7.26
Petrol,98.81,372.1,8.08
Diesel,101.45,330.0,7.27
Petrol,109.63,358.7,9.17
Diesel,100.99,356.8,7.28
Petrol,98.20,319.4,8.10
Diesel,92.88,449.6,6.50
Petrol,102.69,277.5,8.40
Diesel,96.55,276.2,6.88
Petrol,99.63,441.5,8.26
Diesel,98.80,342.2,7.06
Petrol,105.62,196.4,8.73
Diesel,101.95,160.4,7.19
Petrol,97.03,462.0,8.08
Diesel,91.32,245.0,6.37
Petrol,109.62,140.1,9.04
Diesel,90.64,329.1,6.19
Petrol,101.19,229.6,8.20
Diesel,93.87,227.1,6.49
Petrol,96.94,393.4,7.90
Diesel,93.95,323.3,6.62
Petrol,108.12,238.1,8.89
Diesel,100.50,139.3,7.06
Petrol,109.57,221.3,9.09
Diesel,98.70,152.8,7.00
Petrol,99.85,253.6,8.08
Diesel,92.96,297.9,6.44
Petrol,104.53,185.4,8.54
Diesel,97.85,203.0,6.83
Petrol,103.50,264.3,8.60
Diesel,94.32,414.6,6.66
Petrol,96.63,416.6,7.90
Diesel,92.75,191.4,6.30
Petrol,108.98,189.1,8.94
Diesel,103.62,130.5,7.32
Petrol,104.55,399.8,8.66
Diesel,91.58,100.5,6.30
Petrol,99.96,442.2,8.23
Diesel,102.59,369.1,7.38
Petrol,102.16,222.0,8.30
Diesel,100.63,185.7,7.15
Petrol,102.69,364.3,8.51
Diesel,103.72,330.6,7.46
Petrol,104.71,131.5,8.51
Diesel,90.89,213.8,6.19
Petrol,100.73,354.5,8.24
Diesel,90.16,479.8,6.32
Petrol,97.26,269.1,7.89
Diesel,103.86,110.5,7.45
Petrol,98.50,158.1,7.90
Diesel,90.03,402.4,6.34
Petrol,109.02,167.0,8.93
Diesel,94.41,298.0,6.59
Petrol,106.54,352.4,8.83
Diesel,101.92,296.2,7.38
Petrol,106.89,187.5,8.83
Diesel,103.53,324.6,7.39
Petrol,98.91,271.5,8.05
Diesel,98.11,367.9,7.05
Petrol,99.89,295.3,8.21
Diesel,98.20,420.5,7.02
Petrol,99.11,348.1,8.11
Diesel,93.25,153.6,6.34
Petrol,99.69,109.3,7.99
Diesel,100.10,203.6,7.05
Petrol,100.69,195.5,8.28
Diesel,96.82,184.6,6.82
Petrol,101.04,184.8,8.25
Diesel,91.15,417.8,6.35
Petrol,103.95,240.1,8.56
Diesel,93.04,114.7,6.28
Petrol,106.93,166.7,8.87
Diesel,100.38,351.6,7.26
Petrol,104.40,318.5,8.58
Diesel,96.35,381.3,6.85
Petrol,108.53,294.4,8.99
Diesel,90.52,197.8,6.17
Petrol,108.03,416.3,9.03
Diesel,101.58,190.3,7.23
Petrol,107.87,156.0,8.96
Diesel,103.93,365.7,7.58
Petrol,104.67,118.6,8.65
Diesel,91.88,476.3,6.41
Petrol,102.84,337.4,8.53
Diesel,90.87,454.9,6.40
Petrol,106.12,462.4,8.91
Diesel,90.64,174.8,6.15
Petrol,98.21,312.3,7.96
Diesel,90.93,243.2,6.21
Petrol,106.22,481.4,9.01
Diesel,93.36,457.7,6.61
Petrol,96.62,341.8,7.96
Diesel,94.21,433.8,6.70
Petrol,103.72,404.2,8.64
Diesel,91.09,319.3,6.34
Petrol,107.50,418.8,9.09
Diesel,98.56,141.8,6.87
Petrol,97.13,420.7,8.07
Diesel,97.24,435.1,6.89
Petrol,105.50,321.1,8.80
Diesel,100.37,261.8,7.23
Petrol,98.12,199.4,7.99
Diesel,91.69,107.1,6.20
Petrol,106.97,268.8,8.80
Diesel,101.93,297.7,7.29
Petrol,106.69,132.0,8.85
Diesel,96.36,198.2,6.74
Petrol,100.79,147.5,8.25
Diesel,98.70,163.9,6.85
Petrol,103.51,310.8,8.61
Diesel,100.48,349.0,7.16
Petrol,109.55,424.4,9.20
Diesel,97.81,470.5,6.99
Petrol,109.33,380.3,9.23
Diesel,98.69,431.2,7.12
Petrol,99.48,191.4,8.05
Diesel,97.37,401.6,6.99
Petrol,98.11,189.6,7.91
Diesel,91.79,259.2,6.30
Petrol,97.93,312.0,7.93
Diesel,98.50,333.8,7.01
Petrol,103.22,113.9,8.46
Diesel,101.06,453.6,7.35
Petrol,96.99,182.1,7.77
Diesel,99.56,301.0,7.10
Petrol,106.94,388.6,8.91
Diesel,92.33,249.2,6.46
Petrol,106.99,103.9,8.83
Diesel,90.13,339.1,6.22
Petrol,109.64,436.2,9.23
Diesel,90.98,267.9,6.25
Petrol,98.95,238.0,7.99
Diesel,94.04,142.1,6.53
Petrol,108.36,283.4,9.00
Diesel,98.74,282.3,7.01
Petrol,104.45,287.2,8.68
Diesel,100.68,238.3,7.19
Petrol,109.93,488.7,9.24
Diesel,92.21,428.8,6.50
Petrol,106.05,302.5,8.80
Diesel,95.61,426.1,6.71
Petrol,99.78,100.2,8.11
Diesel,100.61,288.9,7.12
Petrol,102.00,297.3,8.42
Diesel,96.97,213.3,6.87
Petrol,104.21,164.1,8.55
Diesel,93.14,262.3,6.40
Petrol,105.48,184.8,8.68
Diesel,100.31,130.1,7.05
Petrol,99.35,121.2,8.03
Diesel,97.58,328.3,6.94
Petrol,100.98,292.9,8.32
Diesel,94.22,241.8,6.55
Petrol,106.68,438.4,9.04
Diesel,97.90,233.6,6.96
Petrol,96.84,299.0,7.92
Diesel,93.40,328.6,6.56
Petrol,96.29,297.5,7.76
Diesel,94.30,389.6,6.67
Petrol,103.68,313.3,8.65
Diesel,94.73,307.5,6.63
Petrol,104.88,454.8,8.86
Diesel,90.24,156.6,6.19
Petrol,99.80,214.0,8.18
Diesel,91.38,284.4,6.33
Petrol,97.87,145.1,7.96
Diesel,98.99,370.6,7.09
Petrol,106.63,498.4,8.98
Diesel,102.06,308.2,7.25
Petrol,102.98,119.4,8.44
Diesel,90.56,401.1,6.37
Petrol,103.42,270.2,8.49
Diesel,98.07,471.8,7.04
Petrol,109.02,117.1,8.97
Diesel,102.43,488.6,7.43
Petrol,107.98,469.0,9.02
Diesel,97.57,169.4,6.84
Petrol,106.15,462.5,8.98
Diesel,94.86,331.3,6.67
Petrol,109.13,409.3,9.15
Diesel,101.84,307.5,7.23
Petrol,96.60,192.5,7.80
Diesel,103.79,327.3,7.41
Petrol,99.25,322.9,8.08
Diesel,96.04,385.0,6.84
Petrol,99.11,448.7,8.11
Diesel,92.73,102.2,6.35
Petrol,96.62,483.1,8.04
Diesel,92.06,225.9,6.41
Petrol,109.50,173.2,9.14
Diesel,101.27,355.5,7.22
Petrol,97.12,133.7,7.82
Diesel,93.68,438.0,6.67
Petrol,106.56,448.4,8.92
Diesel,103.96,223.4,7.47
Petrol,101.99,217.7,8.29
Diesel,93.12,150.1,6.44
Petrol,102.97,397.2,8.60
Diesel,100.76,420.5,7.28
Petrol,99.05,458.2,8.28
Diesel,99.60,108.1,6.96
Petrol,98.63,271.0,8.12
Diesel,90.38,240.4,6.22
Petrol,97.53,483.7,7.98
Diesel,93.98,276.2,6.49
Petrol,99.41,118.8,8.06
Diesel,93.62,387.7,6.50
Petrol,105.14,396.6,8.69
Diesel,91.98,222.7,6.41
Petrol,101.44,224.6,8.26
Diesel,103.49,117.8,7.42
Petrol,107.53,127.6,8.91
Diesel,103.57,423.7,7.60
Petrol,105.77,260.4,8.83
Diesel,97.92,145.4,6.78
Petrol,105.51,185.6,8.65
Diesel,98.87,310.0,7.08
Petrol,108.76,483.7,9.13
Diesel,102.55,113.1,7.21
Petrol,100.59,118.8,8.08
Diesel,90.32,355.4,6.18
Petrol,100.83,158.5,8.27
Diesel,91.08,284.2,6.27
Petrol,99.97,209.9,8.10
Diesel,100.76,324.4,7.18
Petrol,97.08,134.8,7.83
Diesel,102.48,284.7,7.28
Petrol,104.31,401.9,8.74
Diesel,97.40,120.6,6.71
Petrol,106.82,471.0,8.90
Diesel,98.01,356.5,7.02
Petrol,106.64,370.0,8.95
Diesel,102.66,188.2,7.39
Petrol,99.52,340.8,8.22
Diesel,103.04,240.0,7.33
Petrol,103.23,157.4,8.42
Diesel,102.01,427.6,7.47
Petrol,105.11,274.4,8.71
Diesel,90.39,271.8,6.29
Petrol,99.54,426.5,8.16
Diesel,101.61,221.7,7.24
Petrol,100.69,384.6,8.34
Diesel,96.66,103.4,6.77
Petrol,103.78,169.3,8.57
Diesel,99.26,356.2,7.16
Petrol,100.75,364.8,8.30
Diesel,97.51,105.1,6.85
Petrol,105.62,466.0,8.79
Diesel,91.27,468.6,6.37
Petrol,98.48,392.7,8.06
Diesel,102.30,360.5,7.36
Petrol,108.21,268.6,8.97
Diesel,93.09,338.4,6.53
Petrol,104.64,116.3,8.49
Diesel,97.18,220.9,6.85
Petrol,97.11,495.8,8.08
Diesel,100.16,375.6,7.24
Petrol,102.71,386.6,8.58
Diesel,92.61,157.1,6.34
Petrol,101.94,197.9,8.39
Diesel,95.99,219.3,6.67
Petrol,104.96,370.9,8.74
Diesel,96.47,415.6,6.82
Petrol,103.87,147.6,8.42
Diesel,100.73,467.7,7.38
Petrol,106.82,169.7,8.82
Diesel,96.48,104.4,6.76
Petrol,101.74,280.6,8.28
Diesel,96.70,259.8,6.88
Petrol,104.41,374.2,8.65
Diesel,102.72,418.3,7.43
Petrol,107.88,175.6,8.96
Diesel,102.02,448.9,7.43
Petrol,97.73,346.9,7.95
Diesel,98.07,165.5,6.88
Petrol,105.82,385.2,8.89
Diesel,101.64,265.4,7.34
Petrol,106.87,484.8,8.95
Diesel,102.01,107.1,7.26
Petrol,99.27,164.7,8.01
Diesel,98.22,444.4,6.98
Petrol,109.16,361.4,9.12
Diesel,100.01,467.0,7.27
Petrol,99.21,465.9,8.18
Diesel,103.82,235.5,7.43
Petrol,106.24,433.5,8.87
Diesel,96.62,410.9,6.91
Petrol,97.93,407.7,8.02
Diesel,94.35,152.7,6.58
Petrol,97.64,496.3,8.02
Diesel,102.54,349.9,7.43
Petrol,100.86,314.7,8.34
Diesel,91.36,354.6,6.36
Petrol,99.46,494.5,8.32
Diesel,90.94,341.0,6.31
Petrol,105.33,415.7,8.82
Diesel,101.76,150.5,7.15
Petrol,103.83,404.3,8.62
Diesel,98.28,279.9,6.88
Petrol,107.64,351.8,9.00
Diesel,96.85,339.0,6.94
Petrol,103.82,233.4,8.50
Diesel,98.28,356.0,7.06
Petrol,104.92,353.8,8.67
Diesel,100.88,190.4,7.20
Petrol,108.47,128.3,8.88
Diesel,100.82,357.7,7.21
Petrol,98.95,211.0,8.11
Diesel,103.82,234.7,7.51
Petrol,100.56,402.5,8.24
Diesel,99.30,206.3,6.92
Petrol,109.84,403.0,9.23
Diesel,102.16,303.2,7.29
Petrol,98.92,129.9,7.93
Diesel,101.50,181.0,7.19
Petrol,109.82,412.6,9.26
Diesel,98.31,380.1,7.00
Petrol,108.95,123.3,9.08
Diesel,92.51,211.6,6.35
Petrol,96.88,328.7,7.99
Diesel,95.97,206.4,6.77
Petrol,106.01,489.2,8.89
Diesel,92.66,415.6,6.51
Petrol,101.63,109.0,8.26
Diesel,102.57,325.7,7.40
Petrol,98.70,255.6,7.97
Diesel,95.21,100.1,6.57
Petrol,100.61,392.8,8.24
Diesel,99.91,395.7,7.13
Petrol,96.30,423.7,7.90
Diesel,90.96,422.4,6.44
Petrol,99.81,413.0,8.30
Diesel,93.72,142.5,6.40
Petrol,97.73,418.6,8.13
Diesel,90.93,176.6,6.24
Petrol,107.43,110.9,8.83
Diesel,95.82,494.5,6.93
Petrol,99.43,376.0,8.20
Diesel,96.19,138.8,6.68
Petrol,107.59,102.8,8.79
Diesel,92.26,167.5,6.42
Petrol,109.86,233.4,9.09
Diesel,98.77,350.3,7.09
Petrol,106.65,471.1,8.93
Diesel,101.84,199.7,7.19
Petrol,103.87,205.1,8.54
Diesel,95.29,456.6,6.82
Petrol,105.99,342.3,8.88
Diesel,98.24,429.5,6.97
Petrol,101.11,432.1,8.42
Diesel,93.85,275.0,6.47
Petrol,109.94,484.8,9.33
Diesel,90.18,130.5,6.18
Petrol,102.46,176.1,8.35
Diesel,99.97,362.1,7.08
Petrol,104.50,259.8,8.62
Diesel,95.15,451.8,6.83
Petrol,109.91,280.0,9.11
Diesel,97.31,279.2,6.88
Petrol,98.19,260.6,8.00
Diesel,91.41,204.5,6.33
